timestamp,symbol,open,high,low,close,volume
2026-02-09 10:28:00,NSE_FO|42536,95.5,98.1,94.95,97.2,792935
2026-02-09 10:29:00,NSE_FO|42536,97.05,99.8,95.3,96.15,948545
2026-02-09 10:30:00,NSE_FO|42536,96.25,97.9,95.05,97.05,864955
2026-02-09 10:31:00,NSE_FO|42536,97.15,99.2,95.5,97.7,1040260
2026-02-09 10:32:00,NSE_FO|42536,97.75,102.5,97.5,101.75,2010840
2026-02-09 10:33:00,NSE_FO|42536,101.6,102.65,98.7,99.2,1321255
2026-02-09 10:34:00,NSE_FO|42536,99.15,101.7,98.8,100.2,768495
2026-02-09 10:35:00,NSE_FO|42536,100.2,101.8,99.0,101.25,853255
2026-02-09 10:36:00,NSE_FO|42536,101.3,104.4,99.45,103.35,1775995
2026-02-09 10:37:00,NSE_FO|42536,103.3,105.0,100.8,104.0,1594905
2026-02-09 10:38:00,NSE_FO|42536,104.05,115.0,104.0,114.5,6733025
2026-02-09 10:39:00,NSE_FO|42536,114.7,116.0,110.7,113.0,4655105
2026-02-09 10:40:00,NSE_FO|42536,113.2,117.0,111.95,114.1,3103425
2026-02-09 10:41:00,NSE_FO|42536,114.35,115.0,109.65,112.35,2544815
2026-02-09 10:42:00,NSE_FO|42536,112.0,113.25,110.3,112.2,1291875
2026-02-09 10:43:00,NSE_FO|42536,112.35,115.0,111.7,112.65,1420770
2026-02-09 10:44:00,NSE_FO|42536,112.65,116.75,112.65,116.0,1835015
2026-02-09 10:45:00,NSE_FO|42536,116.1,118.0,113.5,115.5,2204345
2026-02-09 10:46:00,NSE_FO|42536,115.55,116.25,113.85,114.7,1017055
2026-02-09 10:47:00,NSE_FO|42536,114.95,116.4,114.7,115.6,805025
2026-02-09 10:48:00,NSE_FO|42536,115.6,121.0,114.8,116.9,2825095
2026-02-09 10:49:00,NSE_FO|42536,116.9,117.75,108.25,111.75,2703350
2026-02-09 10:50:00,NSE_FO|42536,111.85,115.95,110.4,115.25,1691885
2026-02-09 10:51:00,NSE_FO|42536,115.2,117.8,114.4,115.4,1454505
2026-02-09 10:52:00,NSE_FO|42536,115.4,115.95,110.35,110.7,1216605
2026-02-09 10:53:00,NSE_FO|42536,110.7,118.0,110.45,117.45,1248975
2026-02-09 10:54:00,NSE_FO|42536,117.5,122.75,117.35,121.35,2784990
2026-02-09 10:55:00,NSE_FO|42536,121.45,126.0,119.5,125.9,3040570
2026-02-09 10:56:00,NSE_FO|42536,126.0,128.45,121.15,122.8,2594800
2026-02-09 10:57:00,NSE_FO|42536,122.6,126.9,122.6,125.3,1536145
2026-02-09 10:58:00,NSE_FO|42536,125.3,125.95,121.6,123.1,1097070
2026-02-09 10:59:00,NSE_FO|42536,123.4,127.8,122.75,126.0,1142245
2026-02-09 11:00:00,NSE_FO|42536,126.0,127.5,120.2,120.45,1708525
2026-02-09 11:01:00,NSE_FO|42536,120.75,123.35,119.55,120.7,1167270
2026-02-09 11:02:00,NSE_FO|42536,120.95,123.35,119.55,121.0,998465
2026-02-09 11:03:00,NSE_FO|42536,120.8,121.4,118.35,119.5,845260
2026-02-09 11:04:00,NSE_FO|42536,119.65,120.3,116.65,117.5,1091675
2026-02-09 11:05:00,NSE_FO|42536,117.25,125.0,116.9,123.1,1580540
2026-02-09 11:06:00,NSE_FO|42536,123.35,126.6,120.6,122.3,1217580
2026-02-09 11:07:00,NSE_FO|42536,122.3,125.35,121.5,121.65,642460
2026-02-09 11:08:00,NSE_FO|42536,121.8,123.0,117.0,117.1,1096095
2026-02-09 11:09:00,NSE_FO|42536,117.35,118.8,114.6,117.25,1239680
2026-02-09 11:10:00,NSE_FO|42536,117.55,122.65,117.5,121.6,1039805
2026-02-09 11:11:00,NSE_FO|42536,121.7,122.8,116.5,118.7,869245
