timestamp,symbol,open,high,low,close,volume
2026-02-17 22:55:00,MCX_FO|488612,11.35,11.4,11.25,11.3,21
2026-02-17 22:56:00,MCX_FO|488612,11.35,11.35,10.9,10.9,136
2026-02-17 22:57:00,MCX_FO|488612,11.05,11.1,10.95,11.1,36
2026-02-17 22:58:00,MCX_FO|488612,11.0,11.05,10.7,10.8,211
2026-02-17 22:59:00,MCX_FO|488612,10.85,10.95,10.8,10.85,64
2026-02-17 23:00:00,MCX_FO|488612,10.95,11.1,10.75,11.1,158
2026-02-17 23:01:00,MCX_FO|488612,11.0,11.15,11.0,11.15,100
2026-02-17 23:02:00,MCX_FO|488612,11.0,11.25,11.0,11.25,41
2026-02-17 23:03:00,MCX_FO|488612,11.2,11.4,11.2,11.4,58
2026-02-17 23:04:00,MCX_FO|488612,11.35,11.4,11.15,11.15,91
2026-02-17 23:05:00,MCX_FO|488612,11.35,11.4,11.25,11.3,37
2026-02-17 23:06:00,MCX_FO|488612,11.4,11.6,11.3,11.5,131
2026-02-17 23:07:00,MCX_FO|488612,11.55,11.55,11.4,11.45,81
2026-02-17 23:08:00,MCX_FO|488612,11.5,11.55,11.4,11.45,59
2026-02-17 23:09:00,MCX_FO|488612,11.6,11.7,11.45,11.7,72
2026-02-17 23:10:00,MCX_FO|488612,11.6,11.65,11.55,11.65,21
2026-02-17 23:11:00,MCX_FO|488612,11.6,11.7,11.6,11.7,82
2026-02-17 23:12:00,MCX_FO|488612,11.6,11.65,11.55,11.55,26
2026-02-17 23:13:00,MCX_FO|488612,11.8,11.95,11.8,11.85,135
2026-02-17 23:14:00,MCX_FO|488612,11.95,11.95,11.7,11.75,60
2026-02-17 23:15:00,MCX_FO|488612,11.6,11.7,11.6,11.7,104
2026-02-17 23:16:00,MCX_FO|488612,11.8,11.9,11.65,11.8,75
2026-02-17 23:17:00,MCX_FO|488612,11.9,12.2,11.9,12.1,283
2026-02-17 23:18:00,MCX_FO|488612,12.0,12.2,12.0,12.05,129
2026-02-17 23:19:00,MCX_FO|488612,12.25,12.25,12.1,12.1,115
2026-02-17 23:20:00,MCX_FO|488612,12.0,12.2,12.0,12.15,92
2026-02-17 23:21:00,MCX_FO|488612,12.25,12.3,11.75,11.75,175
2026-02-17 23:22:00,MCX_FO|488612,11.8,12.1,11.8,11.9,143
2026-02-17 23:23:00,MCX_FO|488612,11.95,12.2,11.95,12.2,63
2026-02-17 23:24:00,MCX_FO|488612,12.05,12.3,12.05,12.15,144
2026-02-17 23:25:00,MCX_FO|488612,12.05,12.25,12.05,12.1,61
2026-02-17 23:26:00,MCX_FO|488612,12.15,12.25,12.15,12.25,115
2026-02-17 23:27:00,MCX_FO|488612,12.2,12.4,12.2,12.25,123
2026-02-17 23:28:00,MCX_FO|488612,12.3,12.5,12.25,12.45,151
2026-02-17 23:29:00,MCX_FO|488612,12.5,12.5,12.25,12.45,125
2026-02-17 23:30:00,MCX_FO|488612,12.55,12.6,12.4,12.55,194
2026-02-17 23:31:00,MCX_FO|488612,12.6,12.65,12.55,12.6,51
2026-02-17 23:32:00,MCX_FO|488612,12.35,12.55,12.35,12.55,161
2026-02-17 23:33:00,MCX_FO|488612,12.75,12.75,12.5,12.5,218
2026-02-17 23:34:00,MCX_FO|488612,12.55,12.75,12.55,12.75,124
2026-02-17 23:35:00,MCX_FO|488612,12.6,12.8,12.6,12.8,112
2026-02-17 23:36:00,MCX_FO|488612,12.7,12.9,12.6,12.9,144
2026-02-17 23:37:00,MCX_FO|488612,12.8,12.9,12.75,12.8,87
2026-02-17 23:38:00,MCX_FO|488612,12.85,13.1,12.8,13.1,255
2026-02-17 23:39:00,MCX_FO|488612,13.0,13.15,12.95,13.0,86
2026-02-17 23:40:00,MCX_FO|488612,13.1,13.1,13.0,13.0,28
2026-02-17 23:41:00,MCX_FO|488612,13.05,13.05,12.7,12.8,181
2026-02-17 23:42:00,MCX_FO|488612,12.85,13.1,12.85,13.0,230
2026-02-17 23:43:00,MCX_FO|488612,13.05,13.1,12.85,13.0,89
2026-02-17 23:44:00,MCX_FO|488612,12.9,13.0,12.75,12.85,91
2026-02-17 23:45:00,MCX_FO|488612,12.8,13.0,12.8,12.9,123
2026-02-17 23:46:00,MCX_FO|488612,12.85,12.85,12.7,12.85,79
2026-02-17 23:47:00,MCX_FO|488612,13.0,13.1,12.95,12.95,163
2026-02-17 23:48:00,MCX_FO|488612,13.0,13.45,12.95,13.45,238
2026-02-17 23:49:00,MCX_FO|488612,13.4,13.6,12.95,13.1,236
2026-02-17 23:50:00,MCX_FO|488612,13.05,13.15,12.5,12.6,247
2026-02-17 23:51:00,MCX_FO|488612,12.7,12.7,12.4,12.6,158
2026-02-17 23:52:00,MCX_FO|488612,12.55,12.55,11.9,12.15,182
2026-02-17 23:53:00,MCX_FO|488612,12.35,12.7,12.35,12.6,128
2026-02-17 23:54:00,MCX_FO|488612,12.7,12.75,12.3,12.55,233
2026-02-18 09:00:00,MCX_FO|488612,13.05,14.0,12.7,13.0,132
2026-02-18 09:01:00,MCX_FO|488612,13.0,13.2,12.8,12.85,96
2026-02-18 09:02:00,MCX_FO|488612,12.95,13.1,12.9,13.0,71
2026-02-18 09:03:00,MCX_FO|488612,12.9,13.15,12.9,13.15,35
2026-02-18 09:04:00,MCX_FO|488612,13.2,13.25,13.15,13.25,31
2026-02-18 09:05:00,MCX_FO|488612,13.05,13.05,12.85,12.95,77
2026-02-18 09:06:00,MCX_FO|488612,13.0,13.0,12.8,13.0,75
2026-02-18 09:07:00,MCX_FO|488612,12.9,13.05,12.9,13.05,25
2026-02-18 09:08:00,MCX_FO|488612,13.0,13.05,12.9,12.9,6
2026-02-18 09:09:00,MCX_FO|488612,13.0,13.0,13.0,13.0,2
2026-02-18 09:10:00,MCX_FO|488612,13.1,13.15,13.0,13.05,9
2026-02-18 09:11:00,MCX_FO|488612,13.0,13.1,13.0,13.0,3
2026-02-18 09:12:00,MCX_FO|488612,13.05,13.05,12.8,12.85,35
2026-02-18 09:13:00,MCX_FO|488612,12.9,13.0,12.9,13.0,29
2026-02-18 09:14:00,MCX_FO|488612,12.9,13.05,12.9,12.95,29
2026-02-18 09:15:00,MCX_FO|488612,12.9,12.9,12.85,12.85,43
2026-02-18 09:16:00,MCX_FO|488612,12.9,13.05,12.9,13.05,21
2026-02-18 09:17:00,MCX_FO|488612,12.95,13.1,12.9,12.95,32
2026-02-18 09:18:00,MCX_FO|488612,13.0,13.0,12.85,13.0,7
2026-02-18 09:19:00,MCX_FO|488612,12.85,12.95,12.85,12.85,18
2026-02-18 09:20:00,MCX_FO|488612,13.0,13.0,12.85,12.85,22
2026-02-18 09:21:00,MCX_FO|488612,13.0,13.0,13.0,13.0,2
2026-02-18 09:22:00,MCX_FO|488612,12.85,12.9,12.65,12.65,239
2026-02-18 09:23:00,MCX_FO|488612,12.7,12.7,12.45,12.65,57
2026-02-18 09:24:00,MCX_FO|488612,12.45,12.6,12.35,12.35,34
2026-02-18 09:25:00,MCX_FO|488612,12.5,12.5,12.35,12.4,44
2026-02-18 09:26:00,MCX_FO|488612,12.6,12.65,12.6,12.65,26
2026-02-18 09:27:00,MCX_FO|488612,12.6,12.6,12.45,12.45,17
2026-02-18 09:28:00,MCX_FO|488612,12.4,12.55,12.4,12.55,66
2026-02-18 09:29:00,MCX_FO|488612,12.45,12.75,12.45,12.75,19
2026-02-18 09:30:00,MCX_FO|488612,12.65,12.7,12.45,12.55,17
2026-02-18 09:31:00,MCX_FO|488612,12.65,12.7,12.55,12.55,9
2026-02-18 09:32:00,MCX_FO|488612,12.55,12.55,12.55,12.55,0
2026-02-18 09:33:00,MCX_FO|488612,12.55,12.55,12.55,12.55,0
2026-02-18 09:34:00,MCX_FO|488612,12.7,12.7,12.7,12.7,17
2026-02-18 09:35:00,MCX_FO|488612,12.65,12.8,12.65,12.8,17
