date,symbol,trades,capital_invested,realized_pnl,pnl_pct,saved_at
2026-02-20,NIFTY26FEB25600CE,6,25688.0,864.5,3.37,2026-02-20 19:05:38
2026-02-23,NIFTY26FEB25600PE,8,24089.0,-3386.5,-14.06,2026-02-23 18:05:03
2026-05-15,NIFTY2651923700PE,4,19717.75,-1485.25,-7.53,2026-05-15 15:39:50
2026-05-15,NIFTY2651923800CE,11,43520.75,1244.75,2.86,2026-05-15 15:39:50
2026-05-18,NIFTY2651923800CE,1,0.0,0.0,0.0,2026-05-18 09:44:08
