timestamp,symbol,open,high,low,close,volume
2026-05-19 14:30:00,NSE_FO|72067,342.35,344.9,340.0,342.15,4030
2026-05-19 14:31:00,NSE_FO|72067,341.85,341.85,336.6,339.15,26000
2026-05-19 14:32:00,NSE_FO|72067,341.65,341.65,336.6,338.05,8060
2026-05-19 14:33:00,NSE_FO|72067,338.1,339.0,335.0,335.15,14430
2026-05-19 14:34:00,NSE_FO|72067,336.2,338.85,335.0,338.7,8125
2026-05-19 14:35:00,NSE_FO|72067,337.75,338.4,327.25,329.95,31655
2026-05-19 14:36:00,NSE_FO|72067,330.0,332.55,328.5,329.95,23010
2026-05-19 14:37:00,NSE_FO|72067,330.0,333.35,325.3,333.05,19695
2026-05-19 14:38:00,NSE_FO|72067,333.8,333.9,331.05,332.7,10335
2026-05-19 14:39:00,NSE_FO|72067,332.8,334.6,331.45,332.65,14690
2026-05-19 14:40:00,NSE_FO|72067,331.65,333.3,327.7,333.2,12285
2026-05-19 14:41:00,NSE_FO|72067,333.0,335.2,330.85,330.85,7670
2026-05-19 14:42:00,NSE_FO|72067,331.05,331.25,322.0,325.4,25220
2026-05-19 14:43:00,NSE_FO|72067,325.4,325.4,313.75,316.7,50635
2026-05-19 14:44:00,NSE_FO|72067,315.55,316.25,310.0,313.85,34645
2026-05-19 14:45:00,NSE_FO|72067,313.2,313.8,300.0,302.45,107575
2026-05-19 14:46:00,NSE_FO|72067,302.65,305.8,299.0,304.0,57590
2026-05-19 14:47:00,NSE_FO|72067,304.7,310.0,301.85,309.15,51935
2026-05-19 14:48:00,NSE_FO|72067,309.0,312.45,304.95,305.45,27235
2026-05-19 14:49:00,NSE_FO|72067,305.95,310.75,305.25,310.75,16445
2026-05-19 14:50:00,NSE_FO|72067,310.35,318.65,309.15,310.9,38220
2026-05-19 14:51:00,NSE_FO|72067,310.6,313.55,307.4,311.8,28015
2026-05-19 14:52:00,NSE_FO|72067,311.8,316.45,309.15,316.45,19500
2026-05-19 14:53:00,NSE_FO|72067,316.75,316.75,312.7,314.0,23010
2026-05-19 14:54:00,NSE_FO|72067,314.4,314.7,310.0,311.85,20085
