timestamp,symbol,open,high,low,close,volume
2026-02-09 23:41:00,MCX_FO|488610,22.75,22.75,22.5,22.65,101
2026-02-09 23:42:00,MCX_FO|488610,22.55,22.65,22.5,22.65,61
2026-02-09 23:43:00,MCX_FO|488610,22.6,22.65,22.55,22.6,19
2026-02-09 23:44:00,MCX_FO|488610,22.5,22.6,22.4,22.5,53
2026-02-09 23:45:00,MCX_FO|488610,22.6,22.6,22.1,22.3,139
2026-02-09 23:46:00,MCX_FO|488610,22.2,22.35,22.05,22.2,161
2026-02-09 23:47:00,MCX_FO|488610,22.35,22.35,22.2,22.35,57
2026-02-09 23:48:00,MCX_FO|488610,22.4,22.4,22.05,22.05,85
2026-02-09 23:49:00,MCX_FO|488610,22.0,22.05,21.75,22.0,123
2026-02-09 23:50:00,MCX_FO|488610,22.05,22.1,22.05,22.1,173
