Date,Open,High,Low,Close,Volume,mean_middle,min_close_rolling,RSI,MFI,EMA9,volume_profile,BBL,BBM,BBU,BBB,BBP,cumulative_avg_bbb,ADX,ADXR_14_2,DI+,DI-,BBM_Angle,EMA_Angle,BBM_Angle_Degree,EMA_Angle_Degree,BBU_Angle_Degree,BBL_Angle_Degree,TP,CumVol,CumTPV,VWAP,STOCHRSIk,STOCHRSId,ATR,ATR_pctile,trend_norm,RSI_lo,RSI_hi,MFI_pct,BBM_Angle_pct,RSI_pct,EMA_Trend,Trend,regime,is_downtrend,BB_trend,trend_regime_angles,Buy_Signal,Mid_Buy_Signal,OverSold_Buy_Signal,RSI_Range_Buy_Signal,Super_Low_Buy_Signal,Super_Low_Buy_Signal_2,Mid_Buy_Signal_2,RSI_pct_buy,Downtrend_Reverse_Buy_Signal,New_Uptrend_Buy_Signal,Sell_Signal
2026-02-03 09:15:00+05:30,86.2,298.95,86.2,215.0,1270685,387.15,215.0,6.24281545771485,0.8935013549771742,555.4345367089776,1,378.8793785155854,601.7749999999999,824.6706214844144,74.07938896910457,-0.36761462029671216,10.464381252906266,37.48528444984561,35.856228355743106,3.758071575758004,90.01923135837686,-81.09783166414398,-86.35890344157217,268.03810279098684,269.24268555337403,90.31429303952879,269.7619477944873,200.04999999999998,1351285,307542522.0833333,227.59264114034664,50.68954733762834,60.91553005646503,45.90345243053351,0.0625,-0.04177985817207468,34.58389929086037,65.41610070913963,0.0625,0.125,0.07142857142857142,Downtrend,Downtrend,downtrend,True,neutral,pure_down,False,False,False,False,False,False,False,False,False,False,False
2026-02-03 09:16:00+05:30,215.35,216.45,102.0,131.3,2869035,387.15,131.3,5.270380050001934,0.3485084090693471,478.31916639825437,0,231.4875466200159,566.6571428571427,901.8267390942696,118.29713980032714,-0.14945798745590114,12.665049794690367,41.37812947655603,37.335559641125975,3.153298068988342,75.5327467005283,-85.68906587046637,-88.15158818782106,268.36891241421137,269.2570538399701,90.74255384300088,269.61127492841644,149.91666666666666,4220320,737658685.8333333,174.78738243387545,28.4979802207977,49.33370804986835,50.79963439978112,0.0625,-0.0532184180673132,34.64109209033657,65.35890790966343,0.0625,0.125,0.07142857142857142,Downtrend,Downtrend,downtrend,True,neutral,pure_down,False,False,False,False,False,False,False,False,False,False,False
2026-02-03 09:17:00+05:30,131.25,136.05,119.6,133.1,2177890,387.15,131.3,5.6108931885262905,0.2354989960218,415.55204523493535,1,126.78811395152832,531.3214285714284,935.8547431913286,152.27442104399015,0.007801441587576454,15.457237219676363,44.99291414421572,41.23909929703066,3.076660438900338,73.69700184719665,-87.14877741346672,-88.67594806758045,268.37896326233965,269.08724613339325,91.68329866773357,269.4527760476904,129.58333333333334,6398210,1019876931.6666666,159.40035285910693,0.29762543046264506,26.495050996296225,48.346089085511046,0.0625,-0.0620151280704212,34.68507564035211,65.31492435964789,0.0625,0.125,0.14285714285714285,Downtrend,Downtrend,downtrend,True,neutral,pure_down,False,False,False,False,False,False,False,False,False,False,False
2026-02-03 09:18:00+05:30,132.2,133.95,95.2,106.85,1787305,387.15,106.85,5.311065836209368,0.16427540788165468,359.42440064676526,0,35.63471790799156,493.8821428571428,952.1295678062941,185.5695459237128,0.07770396320275093,18.79277268446139,48.37705606127323,44.87759276891463,2.897985463070771,73.07390732849194,-87.90536724415205,-88.94573931342697,268.4699985872205,268.97929587739213,93.51609545463748,269.37146081652725,112.0,8185515,1220055091.6666665,149.05049855344063,0.29762543046264506,9.697743693907665,47.66065415083168,0.0625,-0.06923553145073565,34.721177657253676,65.27882234274632,0.0625,0.125,0.14285714285714285,Downtrend,Downtrend,downtrend,True,neutral,pure_down,False,False,False,False,False,False,False,False,False,False,False
2026-02-03 09:19:00+05:30,107.05,120.8,100.0,100.25,1736735,387.15,100.25,5.235316040943193,0.09617474544072567,312.3017823473534,0,-39.219676328124365,455.1392857142857,949.4982477566957,217.2341424083284,0.14106113880480187,22.608952871458833,51.51947355568378,48.25619384994975,2.8038579711007414,70.70044351615351,-88.3711309703326,-89.10141467508407,268.52145492138493,268.78429546085454,249.19133710893163,269.23461579062405,107.01666666666667,9922250,1405914682.2499998,141.69313232885685,0.29762543046264506,0.29762543046264506,45.74203599720085,0.0625,-0.07507561402709542,34.750378070135476,65.24962192986452,0.0625,0.125,0.07142857142857142,Downtrend,Downtrend,downtrend,True,neutral,pure_down,False,False,False,False,False,False,False,False,False,False,False
2026-02-03 09:20:00+05:30,100.25,100.3,81.4,84.05,2263950,387.15,84.05,5.045109208867329,0.08411013981230527,270.80145828419825,0,-103.98472193352546,415.81428571428563,935.6132933620968,250.0149828930964,0.18087252877262905,26.899632683187846,54.459675404572025,51.418365732922624,2.717486400617429,71.55410693338744,-88.45983656467318,-88.993618600886,268.54333288267117,268.61965670114205,265.8806473665076,269.1153989564254,88.58333333333333,12186200,1606462919.7499998,131.82640361638573,0.0,0.19841695364176337,43.824747711686506,0.0625,-0.08053532585961808,34.777676629298085,65.22232337070191,0.0625,0.125,0.07142857142857142,Downtrend,Downtrend,downtrend,True,neutral,pure_down,False,False,False,False,False,False,False,False,False,False,False
2026-02-03 09:21:00+05:30,84.05,89.25,77.8,82.8,2126540,387.15,82.8,5.02992387647144,0.07555022197917499,236.61937495979856,0,-155.20834175938666,376.1571428571428,907.5226274736722,282.5231394413966,0.22395916619532613,31.633401326858376,57.19427228931695,54.356872922500365,2.6639475744210346,70.76381554937828,-88.4965189471487,-88.81490157413815,268.5555278038929,268.32428463683266,267.9611877242172,268.88159988391936,83.28333333333335,14312740,1783568259.4166665,124.61403333091124,0.0,0.09920847682088169,41.512265732280326,0.0625,-0.08532560654532736,34.80162803272664,65.19837196727336,0.0625,0.125,0.07142857142857142,Downtrend,Downtrend,downtrend,True,neutral,pure_down,False,False,False,False,False,False,False,False,False,False,False
2026-02-03 09:22:00+05:30,82.7,89.75,79.2,82.8,1575600,387.15,82.8,5.029923876471439,7.1457685734841805,208.65221587619882,1,-193.6736076388484,336.58214285714286,866.8378933531342,315.08252101244136,0.2606983586507456,36.78702168477807,59.7161909791151,57.08793319184356,2.7037421931713435,69.40695224725528,-88.52923373848846,-88.61564338062033,268.5525308955647,267.9521916988313,268.5919965627733,268.51078953210254,83.91666666666667,15888340,1915787359.4166665,120.57819504219236,0.0,0.0,39.30067532283173,0.0625,-0.08906178867999154,34.82030894339996,65.17969105660005,0.625,0.125,0.07142857142857142,Downtrend,Downtrend,downtrend,True,neutral,pure_down,False,False,False,False,False,False,False,False,False,False,False
2026-02-03 09:23:00+05:30,82.75,87.3,76.5,83.9,1872130,387.15,82.8,5.320768135607519,6.607618250547274,185.96999480779903,1,-219.34887049413715,297.2714285714286,813.8917276369943,347.57480834821087,0.29349298802489654,42.33680358948222,62.061869504373284,59.62807089684512,2.6477714177372618,68.4876739380213,-88.54322708699505,-88.34884800503008,268.5428037506033,267.47561313900144,268.91797701890624,267.76957164425966,82.56666666666668,17760470,2070362893.0833333,116.57140228177144,0.2264111273284944,0.07547037577616479,37.264912799772326,0.0625,-0.09193695230259141,34.83468476151296,65.16531523848704,0.5625,0.125,0.5,Downtrend,Downtrend,downtrend,True,bearish,pure_down,False,False,False,False,False,False,False,False,False,False,False
2026-02-03 09:24:00+05:30,83.65,102.45,82.75,92.7,2392975,387.15,82.8,7.754613791034618,15.85053427342419,169.01181393365374,1,-230.75034713477027,259.0678571428572,748.8860614204846,378.1389244344026,0.33017387299006923,48.228068867463286,63.66080173525761,61.68849635718635,5.54940408248161,65.81143692596783,-88.53922203181796,-88.00151600034687,268.500593081912,266.62525675832603,269.1186728188462,264.9875322009989,92.63333333333333,20153445,2292032143.9166665,113.72904949583888,2.3702555549559094,0.8655555607614679,36.010276171217164,0.0625,-0.09455182837891217,34.84775914189456,65.15224085810544,1.0,0.25,0.7142857142857143,Downtrend,Downtrend,downtrend,True,bearish,pure_down,False,False,False,False,False,False,False,False,False,False,False
