Date,Open,High,Low,Close,Volume,mean_middle,min_close_rolling,RSI,MFI,EMA9,volume_profile,BBL,BBM,BBU,BBB,BBP,cumulative_avg_bbb,BBM_Angle,EMA_Angle,TP,CumVol,CumTPV,VWAP,STOCHRSIk,STOCHRSId,ATR,ATR_pctile,trend_norm,RSI_lo,RSI_hi,MFI_pct,BBM_Angle_pct,EMA_Trend,Trend,is_downtrend,is_sideways,regime,Buy_Signal,Mid_Buy_Signal,OverSold_Buy_Signal,RSI_Range_Buy_Signal,Super_Low_Buy_Signal,Mid_Buy_Signal_2,Sell_Signal
2025-11-07 09:44:00+05:30,50.0,53.0,49.75,51.65,1091400,89.07499999999999,45.6,41.31368466456963,44.48993432196551,50.04100189851406,1,44.67784234200846,49.22142857142857,53.765014800848675,18.461821858041358,0.7672527058963055,24.719233353232454,-5.832128229588166,9.098228500297868,51.46666666666667,46830900,2596423966.25,55.44253828668678,97.64673822250843,96.48258378313065,3.9049217362908473,0.0625,-0.08459034050969307,34.79795170254847,65.20204829745154,0.9375,0.875,Flat,Downtrend,False,False,other,False,False,False,False,False,False,False
2025-11-07 09:45:00+05:30,51.5,51.95,49.6,51.4,900900,89.07499999999999,45.6,40.85790965382914,37.15157144675878,50.28809246242059,0,45.09465466030991,49.05357142857142,53.01248819683294,16.141196870960684,0.7963472976042086,24.24267577088402,-9.01045115393469,6.952021424242827,50.98333333333334,47731800,2642354851.25,55.35837431754093,99.40880114793308,97.62372662948584,3.7938558979843586,0.0625,-0.07785227768095725,34.76426138840479,65.23573861159521,0.75,0.5,Flat,Downtrend,False,True,sideways,False,False,False,False,False,False,False
2025-11-07 09:46:00+05:30,51.4,54.8,50.1,54.7,1228650,89.07499999999999,45.6,48.875506468731174,48.12354707830622,51.09025746925321,1,44.49429517166196,49.46785714285714,54.44141911405232,20.108257193482793,1.0259955427765124,24.025074793126063,-1.922779036186434,15.919169682252583,53.20000000000001,48960450,2707719031.25,55.3042104647731,99.57853323878454,98.87802420307536,3.8585804766997613,0.125,-0.06459350569189777,34.072967528459486,65.92703247154051,1.0,1.0,Flat,Downtrend,False,True,sideways,False,False,False,False,False,False,False
2025-11-07 09:47:00+05:30,54.75,60.2,53.05,60.0,3711075,89.07499999999999,45.6,58.58600057003927,63.592367334824125,52.710210656661715,1,42.71003063887972,50.22142857142857,57.732826503977414,29.913119344526766,1.1509155497006978,24.319477020696098,10.322852684236425,32.050208140304775,57.75,52671525,2922033612.5,55.476533335611606,99.57853323878454,99.5219558751674,4.093681871221207,0.3125,-0.03748823856489341,32.062441192824465,67.93755880717553,1.0,1.0,Uptrend,Uptrend,False,True,sideways,False,False,False,False,False,False,False
2025-11-07 09:48:00+05:30,59.85,60.6,55.4,56.55,1855650,89.07499999999999,45.6,51.70190677099309,61.977166362934376,53.40835417363231,0,43.28750783612757,51.00357142857142,58.71963502101527,30.25695407722539,0.8594079095498939,24.60221402338797,20.9139993567126,36.685428370285024,57.51666666666667,54527175,3028764415.0,55.545962448999056,95.82196054126082,98.32634233960997,4.172704594705407,0.4375,-0.01422598878918939,30.696129943945948,69.30387005605405,0.9375,1.0,Uptrend,Uptrend,False,False,other,False,False,False,False,False,False,True
2025-11-07 09:49:00+05:30,56.45,60.0,54.65,58.8,1674900,89.07499999999999,45.6,55.38397560438258,69.08735603625097,54.38865341479007,1,43.66433646594556,51.89999999999999,60.13566353405442,31.7366610175508,0.9189097800965603,24.926507068577187,28.178590109959128,41.007947776528816,57.81666666666666,56202075,3125601550.0,55.6136325927468,94.58164840378319,96.66071406127618,4.256797123655021,0.5625,0.01643047514255619,29.29284762428722,70.70715237571278,1.0,1.0,Uptrend,Uptrend,False,False,other,False,False,False,False,False,False,False
2025-11-07 09:50:00+05:30,58.8,59.5,56.55,58.95,1568100,89.07499999999999,45.6,55.62684658992377,74.93243763736733,55.21798915755551,1,44.408941161307155,52.796428571428564,61.18391598154997,31.772934787715553,0.8668304420430937,25.22417783897451,36.81747700217858,44.595508705373696,58.333333333333336,57770175,3217074050.0,55.68745550796756,93.5802190409621,94.66127599533536,4.163454471965377,0.4375,0.03812535104600602,30.43437324476997,69.56562675523003,1.0,1.0,Uptrend,Uptrend,False,False,other,False,False,False,False,False,False,False
2025-11-07 09:51:00+05:30,59.0,59.6,52.05,54.2,1750650,89.07499999999999,45.6,46.91714328903928,67.06479219033392,55.032900219818146,0,45.44313707199386,53.275,61.10686292800614,29.40164402817884,0.5590536382277757,25.398238930191354,37.28668159792272,38.256787884709546,55.28333333333334,59520825,3313855817.5,55.67556930704505,90.35824750947988,92.84003831807506,4.405350581110707,0.8125,0.0529484419874805,26.610257790062597,73.3897422099374,0.875,1.0,Uptrend,Uptrend,False,False,other,False,False,False,False,False,False,True
2025-11-07 09:52:00+05:30,54.35,56.15,50.75,52.4,1544625,89.07499999999999,45.6,44.09931611372453,60.68441958563763,54.55419108894212,0,46.06780639717775,53.52142857142857,60.9750507456794,27.852852112508085,0.4247729127388128,25.496423457484024,33.42481118260383,20.24377692359028,53.1,61065450,3395875405.0,55.61042135937752,82.04114892802629,88.65987182615609,4.476396968174228,0.875,0.05387722427631657,25.980613878618417,74.01938612138159,0.6875,0.75,Uptrend,Uptrend,False,False,other,False,False,False,False,False,False,True
2025-11-07 09:53:00+05:30,52.4,53.25,50.05,50.9,1011900,89.07499999999999,45.6,41.84394086794306,56.11695432242629,53.889792709134454,0,46.23727472271812,53.582142857142856,60.92701099156759,27.415357963592964,0.3174138181887913,25.57022863079591,27.280804486876068,5.49992386666224,51.4,62077350,3447887065.0,55.54178883280294,71.23962980847458,81.21300874866024,4.385225756161783,0.75,0.04959420943157802,27.25202895284211,72.74797104715789,0.625,0.5,Uptrend,Uptrend,False,False,other,False,False,False,False,False,False,True
2025-11-07 09:54:00+05:30,50.9,51.05,46.75,47.0,1957350,89.07499999999999,46.25,36.602446739634765,49.19283891904928,52.63710312565546,0,45.1472938993293,53.24999999999999,61.35270610067069,30.432698969655195,0.11432637921529361,25.75032012482773,15.109575122340479,-19.305870973870046,48.26666666666667,64034700,3542361825.0,55.31941002300315,62.30907383821436,71.86328419157174,4.379138202150227,0.75,0.03584208600675735,27.320789569966212,72.67921043003379,0.5625,0.25,Flat,Uptrend,False,False,other,False,False,False,False,False,False,True
2025-11-07 09:55:00+05:30,47.15,48.4,45.55,46.8,1568475,89.07499999999999,46.4,36.35097530265741,48.2529824826606,51.57581164826355,0,44.43704017639249,53.04999999999999,61.66295982360749,32.47110206826578,0.1371746688711355,25.990348051379094,2.9032272629598106,-36.0709237279439,46.916666666666664,65603175,3615949443.75,55.11851284255678,53.87513366688351,62.47461243785747,4.269914044853783,0.6875,0.02844091639617961,27.9827954180191,72.01720458198089,0.5,0.125,Downtrend,Uptrend,True,False,downtrend,False,False,False,False,False,False,True
2025-11-07 09:56:00+05:30,46.8,47.15,43.75,44.5,1832400,89.07499999999999,44.5,33.500529782066444,46.40325625454769,50.28930043948836,0,43.141935422435225,52.71428571428571,62.28663600613619,36.317860185882594,0.0709368408049681,26.346469159465418,-6.398578896167837,-43.492624772000816,45.13333333333333,67435575,3698651763.75,54.847189539794094,42.38162320784997,52.855276904315936,4.2077773273642265,0.625,0.013809477004010157,28.68095261497995,71.31904738502006,0.375,0.125,Downtrend,Downtrend,True,False,downtrend,False,False,False,False,False,False,True
2025-11-07 09:57:00+05:30,44.45,47.75,43.7,47.5,1068675,89.07499999999999,44.5,40.098529098663,47.492216954505245,49.782154905035924,1,42.63469783459186,52.525,62.415302165408136,37.65940853082584,0.24596327210430405,26.723567138510766,-11.270575577123983,-43.66363614269873,46.31666666666666,68504250,3748149227.5,54.71411229960185,41.08729154976286,45.781349474832105,4.196507518266782,0.5625,0.010206298767184194,29.32396850616408,70.67603149383592,0.375,0.125,Downtrend,Downtrend,True,False,downtrend,False,False,False,False,False,False,False
2025-11-07 09:58:00+05:30,47.55,48.5,46.3,46.9,886725,89.07499999999999,44.5,39.25954444737149,46.863687710952476,49.25812674048393,0,41.85023181984953,52.18571428571428,62.52119675157903,39.61038995951451,0.24429281346218998,27.139271100478627,-15.604289166531746,-42.809962814691595,47.23333333333333,69390975,3790032205.0,54.61851782598529,39.50479686584779,40.991237207820205,4.053899838390583,0.3125,0.0083352888183471,31.833323555908265,68.16667644409173,0.3125,0.125,Downtrend,Downtrend,False,True,sideways,False,False,False,False,False,False,False
2025-11-07 09:59:00+05:30,47.05,47.3,45.65,47.05,514350,89.07499999999999,44.5,39.59978708409255,47.740737113985254,48.85664915130503,1,41.18238932360657,51.87500000000001,62.56761067639344,41.22452308970963,0.2743768969980183,27.5794352251421,-15.376251248826035,-37.092590637617576,46.666666666666664,69905325,3814035205.0,54.56000962730665,43.665617504408374,41.419235306673,3.88219270707697,0.1875,0.006554245345503969,33.09222877327248,66.90777122672752,0.375,0.25,Downtrend,Downtrend,False,True,sideways,False,False,False,False,False,False,False
2025-11-07 10:00:00+05:30,47.0,47.05,43.95,45.55,894975,89.07499999999999,44.5,37.34684859331355,43.06731191091717,48.25544021470411,0,40.16042887494028,51.221428571428575,62.28242826791687,43.18895433017323,0.24362947622043724,28.05245095559759,-20.08818807214752,-33.5871143108173,45.51666666666667,70800300,3854771483.75,54.44569420962905,39.50772056253314,40.892711644263095,3.826321799428615,0.125,-0.002427628630307198,33.76213814315153,66.23786185684847,0.125,0.125,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,True
2025-11-07 10:01:00+05:30,45.6,47.85,44.95,47.5,655125,89.07499999999999,44.5,41.969004009143696,32.21256562309083,48.11808744839426,1,40.3555528834619,50.328571428571436,60.301589973680976,39.631637704096946,0.3581888013254282,28.393015271729922,-25.507809626846605,-23.472539187319683,46.76666666666667,71455425,3885409496.25,54.37529055701509,41.4152097020591,41.529515923000204,3.760155956612285,0.0625,-0.0014203271123794752,34.382101635561895,65.6178983644381,0.0625,0.125,Downtrend,Downtrend,False,True,sideways,False,False,False,False,False,False,False
2025-11-07 10:02:00+05:30,47.4,47.5,45.75,46.8,515175,89.07499999999999,44.5,40.80523804549292,35.23671983246121,47.878435185049845,0,40.182632723900944,49.63214285714286,59.081652990384775,38.07818719590899,0.35014340335062333,28.669734469563608,-30.052447711189796,-20.844028270932103,46.68333333333334,71970600,3909459582.5,54.32023051773919,39.382762073377734,40.10189744598999,3.6165733882828364,0.0625,-0.008717805909990422,34.41858902954995,65.58141097045005,0.125,0.125,Downtrend,Downtrend,False,True,sideways,False,False,False,False,False,False,False
2025-11-07 10:03:00+05:30,46.75,48.0,46.05,47.9,1590900,89.07499999999999,44.5,43.45852050116682,33.61140395521541,47.882356060495326,1,40.99584967167579,48.85357142857143,56.71129318546706,32.168463951031185,0.43932265241292034,28.766921399604378,-33.68062212884921,-15.384461353718706,47.31666666666666,73561500,3984735667.5,54.1687658285924,44.12697728486201,41.64164968676628,3.49753243197692,0.0625,-0.013176976652100719,34.44088488326051,65.55911511673949,0.125,0.125,Downtrend,Downtrend,False,True,sideways,False,False,False,False,False,False,False
2025-11-07 10:04:00+05:30,47.8,48.55,45.5,46.15,869175,89.07499999999999,44.5,40.35915815461121,24.40915022056452,47.567382231314355,0,42.55166763470468,47.93928571428571,53.32690379386674,22.476839190682995,0.3339446404834198,28.596919177741636,-38.207799735648976,-14.458951864421428,46.73333333333333,74430675,4025355112.5,54.081937487467364,40.41293922652617,41.307559528255304,3.465565829692854,0.0625,-0.026537224992130203,34.50768612496065,65.49231387503934,0.0625,0.125,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 10:05:00+05:30,46.15,47.5,45.0,45.7,620025,89.07499999999999,44.5,39.57752107623291,26.659198472592383,47.2278581892572,0,43.21863655886958,47.33214285714285,51.44564915541611,17.381449687112568,0.30161172260414754,28.301775243777712,-37.87781684990492,-11.613517889249792,46.06666666666666,75050700,4053917597.5,54.015720006608866,39.09696794682755,41.212294819405244,3.3965968418576504,0.0625,-0.03935176182108024,34.571758809105404,65.4282411908946,0.125,0.25,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 10:06:00+05:30,45.85,46.85,44.45,45.9,519450,89.07499999999999,44.5,40.13247448984659,28.937373086791872,46.986429427574066,1,43.91473437772634,46.86785714285715,49.820979907987955,12.601910755720887,0.33612988354477064,27.89921461587882,-34.688768651852556,-12.752981713383132,45.73333333333334,75570150,4077673777.5,53.95878898612746,35.170145128023776,38.22668410045917,3.3254113531535325,0.0625,-0.051483755933353886,34.632418779666764,65.36758122033324,0.1875,0.375,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 10:07:00+05:30,45.95,46.5,44.5,46.45,539850,89.07499999999999,44.5,41.71777460647513,33.92232190039969,46.88889680437878,1,44.723275314415744,46.54999999999999,48.376724685584236,7.84844118403543,0.4726286066014365,27.397945280082734,-31.650866634509292,-11.194615723048281,45.81666666666666,76110000,4102407905.0,53.90103672316384,38.074874368653006,37.44732914783477,3.230739113642566,0.0625,-0.06072810793653032,34.67864053968265,65.32135946031735,0.375,0.625,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,False,False,False
2025-11-07 10:08:00+05:30,46.4,48.2,46.3,46.7,756150,89.07499999999999,44.5,42.463579156383574,43.250966228442316,46.854551930855365,1,44.71761575833535,46.52857142857143,48.339527098807515,7.784273682316599,0.5473309684621442,26.919563045990877,-24.938427655457183,-11.615959852351967,47.06666666666666,76866150,4137997365.0,53.83380545272529,43.246269100426844,38.83042953236787,3.1356863198109544,0.0625,-0.06686026685531754,34.70930133427659,65.29069866572341,0.5625,1.0,Downtrend,Downtrend,True,True,downtrend,False,False,False,False,True,False,False
